CKT_TRAIL_ID,TRAIL_NAME,A_EQUIPMENT_TID,A_EQUIPMENT_MODEL,Z_EQUIPMENT_TID,Z_EQUIPMENT_MODEL
113016,I1001/GE100/FRDSNJFR/WSFDNJWS,FRDSNJFR-0110525A,CISCO_NCS4016_SHELF,WSFDNJWS-0223203A,CISCO_NCS4016_SHELF
103840,I1001/GE100/FRFDNJFA/LVTNNJLI,FRFDNJFA-0113315A,CISCO_NCS4016_SHELF,LVTNNJLI-0221002A,CISCO_NCS4016_SHELF
103841,I1001/GE100/FRFDNJFA/MTVWNJMV,FRFDNJFA-0113315A,CISCO_NCS4016_SHELF,MTVWNJMV-0111236A,CISCO_NCS4016_SHELF
128394,I1001/GE100/FRHDNJ02/FRHDNJFH,FRHDNJ02-0221006A,CISCO_NCS4016_SHELF,FRHDNJFH-0111114A,CISCO_NCS4016_SHELF
128395,I1001/GE100/FRHDNJ02/LKWDNJLK,FRHDNJ02-0221006A,CISCO_NCS4016_SHELF,LKWDNJLK-0221008A,CISCO_NCS4016_SHELF
128321,I1001/GE100/FRHDNJBB/FRHDNJFH,FRHDNJBB-0111104A,CISCO_NCS4016_SHELF,FRHDNJFH-0111114A,CISCO_NCS4016_SHELF
128322,I1001/GE100/FRHDNJBB/LKWDNJLK,FRHDNJBB-0111104A,CISCO_NCS4016_SHELF,LKWDNJLK-0221008A,CISCO_NCS4016_SHELF
127697,I1001/GE100/FRHDNJFH/HBVLNJ01,FRHDNJFH-0111114A,CISCO_NCS4016_SHELF,HBVLNJ01-0111330A,CISCO_NCS4016_SHELF
127930,I1001/GE100/FRHDNJFH/HOLMNJHO,FRHDNJFH-0111114A,CISCO_NCS4016_SHELF,HOLMNJHO-0110315A,CISCO NCS4016 SHELF
103332,I1001/GE100/FRHDNJFH/LGBRNJLB,FRHDNJFH-0111114A,CISCO_NCS4016_SHELF,LGBRNJLB-0111502A,CISCO_NCS4016_SHELF
103349,I1001/GE100/FRHDNJFH/LKWDNJLK,FRHDNJFH-0111114A,CISCO_NCS4016_SHELF,LKWDNJLK-0221008A,CISCO_NCS4016_SHELF
97253,I1001/GE100/FRHDNJFH/NBWKNJNB,FRHDNJFH-0111114A,CISCO_NCS4016_SHELF,NBWKNJNB-0550221A,CISCO_NCS4016_SHELF
127933,I1001/GE100/FRHDNJFH/NPTUNJNT,FRHDNJFH-0111114A,CISCO_NCS4016_SHELF,NPTUNJNT-0112003A,CISCO_NCS4016_SHELF
102488,I1001/GE100/FRHDNJFH/PAMBNJPM,FRHDNJFH-0111114A,CISCO_NCS4016_SHELF,PAMBNJPM-0330754A,CISCO_NCS4016_SHELF
